n,lambda,mu,T,runtime_s,per_sample_ms,chi_hat_est,chi_hat_true,abs_err
6,"(3, 2, 1)","(6,)",8000,0.18073312400156283,0.022591640500195354,-0.180125,0.0,0.180125
6,"(2, 2, 1, 1)","(6,)",8000,0.17071680699882563,0.021339600874853204,-0.02775,0.0,0.02775
6,"(4, 2)","(6,)",8000,0.14478342599977623,0.01809792824997203,0.100125,0.0,0.100125
6,"(4, 1, 1)","(6,)",8000,0.15473522300089826,0.019341902875112282,0.20225,0.0,0.20225
6,"(1, 1, 1, 1, 1, 1)","(6,)",8000,0.24649573200076702,0.030811966500095878,-1.0,0.0,1.0
6,"(3, 1, 1, 1)","(6,)",8000,0.17442505700091715,0.021803132125114644,-0.39725,0.0,0.39725
6,"(6,)","(6,)",8000,0.1643647660021088,0.0205455957502636,1.0,0.0,1.0
6,"(3, 3)","(6,)",8000,0.15140465399963432,0.01892558174995429,-0.18975,0.0,0.18975
6,"(2, 2, 2)","(6,)",8000,0.15919840000060503,0.01989980000007563,-0.181375,0.0,0.181375
6,"(5, 1)","(6,)",8000,0.15592261100027827,0.019490326375034783,-0.19825,0.0,0.19825
7,"(5, 1, 1)","(7,)",8000,0.19875039199905586,0.024843798999881983,0.13025,0.0,0.13025
7,"(2, 2, 1, 1, 1)","(7,)",8000,0.2094403670016618,0.026180045875207725,0.17425,0.0,0.17425
7,"(3, 3, 1)","(7,)",8000,0.17950827999811736,0.02243853499976467,-0.01075,0.0,0.01075
7,"(2, 2, 2, 1)","(7,)",8000,0.19892831900142482,0.024866039875178103,0.1685,0.0,0.1685
7,"(4, 3)","(7,)",8000,0.16694112600089284,0.020867640750111605,-0.050375,0.0,0.050375
7,"(2, 1, 1, 1, 1, 1)","(7,)",8000,0.237392822997208,0.029674102874651,-0.835625,0.0,0.835625
7,"(3, 2, 1, 1)","(7,)",8000,0.19528485200135037,0.024410606500168797,0.1115,0.0,0.1115
7,"(3, 2, 2)","(7,)",8000,0.18550116700134822,0.023187645875168528,0.007625,0.0,0.007625
7,"(6, 1)","(7,)",8000,0.1774416320004093,0.022180204000051162,-0.165375,0.0,0.165375
7,"(3, 1, 1, 1, 1)","(7,)",8000,0.2153847900008259,0.026923098750103236,0.468625,0.0,0.468625
8,"(3, 1, 1, 1, 1, 1)","(8,)",8000,0.27667202000156976,0.03458400250019622,-0.514375,0.0,0.514375
8,"(2, 1, 1, 1, 1, 1, 1)","(8,)",8000,0.3053469929982384,0.0381683741247798,0.859625,0.0,0.859625
8,"(3, 2, 2, 1)","(8,)",8000,0.22893142999964766,0.028616428749955958,0.039125,0.0,0.039125
8,"(2, 2, 2, 1, 1)","(8,)",8000,0.28921325500050443,0.036151656875063054,-0.137,0.0,0.137
8,"(5, 2, 1)","(8,)",8000,0.23085453399835387,0.028856816749794234,-0.0445,0.0,0.0445
8,"(4, 2, 2)","(8,)",8000,0.25290825000047334,0.03161353125005917,0.04225,0.0,0.04225
8,"(4, 2, 1, 1)","(8,)",8000,0.3287392730017018,0.041092409125212725,0.07075,0.0,0.07075
8,"(2, 2, 2, 2)","(8,)",8000,0.37639535700145643,0.047049419625182054,-0.165375,0.0,0.165375
8,"(3, 3, 1, 1)","(8,)",8000,0.34606750000239117,0.043258437500298896,0.060375,0.0,0.060375
8,"(4, 3, 1)","(8,)",8000,0.25923219100150163,0.032404023875187704,0.039,0.0,0.039
9,"(4, 2, 2, 1)","(9,)",8000,0.39378448000206845,0.049223060000258556,-0.022625,0.0,0.022625
9,"(2, 2, 2, 2, 1)","(9,)",8000,0.38624139500097954,0.04828017437512244,0.0545,0.0,0.0545
9,"(2, 2, 2, 1, 1, 1)","(9,)",8000,0.4526614360001986,0.056582679500024824,0.11325,0.0,0.11325
9,"(3, 1, 1, 1, 1, 1, 1)","(9,)",8000,0.4519157510003424,0.0564894688750428,0.5635,0.0,0.5635
9,"(3, 3, 1, 1, 1)","(9,)",8000,0.39611634200264234,0.04951454275033029,-0.078375,0.0,0.078375
9,"(4, 1, 1, 1, 1, 1)","(9,)",8000,0.3532324799998605,0.044154059999982564,-0.273,0.0,0.273
9,"(3, 2, 2, 1, 1)","(9,)",8000,0.34924575600234675,0.043655719500293344,-0.083125,0.0,0.083125
9,"(7, 1, 1)","(9,)",8000,0.33987220500057447,0.04248402562507181,0.0735,0.0,0.0735
9,"(5, 2, 2)","(9,)",8000,0.29665400800149655,0.03708175100018707,0.022,0.0,0.022
9,"(2, 1, 1, 1, 1, 1, 1, 1)","(9,)",8000,0.4694525560007605,0.058681569500095065,-0.87525,0.0,0.87525
